producto_principal,acompanante,tecnica,tipo_maridaje,notas
queso de cabra,calabaza,asado lento,vino tinto joven,contraste dulce-salado,clásico otoño mediterráneo
queso de cabra,remolacha,asada,vino rosado,frescura y tierra,contraste tierra-cremosidad
queso de cabra,miel y tomillo,fresco,espumoso seco,dulce-salado con herbal,apertura de menú
queso de oveja,manzana,asada,vino tinto crianza,fruta madura-graso,otoñal contundente
queso curado,peras al vino,tierno,vino dulce,madurez-fruta,postre de cuchillo
anchoas,boquerón,vinagre,vino blanco seco,mar y mar,clásico catalán
bacalao,pimiento escalibada,plancha,vino blanco con cuerpo,salado-dulce ahumado,tradición
sardina,tomate,escabeche,vino rosado,acidez-grasa,verano mediterráneo
setas,huevo,revuelto,vino tinto ligero,umami-tierra,otoño
boletus,foie,microondas,vino dulce,umami doble,lujo otoñal
cordero,romero,asado,vino tinto reserva,carne-herbal,clásico
cordero,granada,asado,vino tinto elegante,fruta-graso,moderno
cochinillo,manzana,asado,vino tinto crianza,graso-ácido,clásico español
conejo,membrillo,estofado,vino tinto joven,fruta-carne,sabores catalanes
lubina,limón y hierbas,plancha,vino blanco seco,fresco-minimalista,peso limpio
salmón,eneldo,horno,vino blanco con cuerpo,graso-herbal,nórdico-mediterráneo
trufa,huevo pochado,temperie,vino blanco con barrica,umami doble,lujo
frutos rojos,queso fresco,banoffee,vino espumoso rosado,ácido-cremoso,postre
higos,queso de cabra,asado,vino dulce,fruta-graso,final de menú
cereza,pimienta negra,marinadas,vino tinto ligero,fruta-picante,moderno
albaricoque,almendra,tarta,vino dulce,fruta-fruto seco,clásico
naranja,aceite de oliva,cruda,vino de postre,amargo-graso,mediterráneo esencial
